countryName;EPRTRSectorCode;eprtrSectorName;EPRTRAnnexIMainActivityCode;EPRTRAnnexIMainActivityLabel;FacilityInspireID;facilityName;facilityNameConfidentialityReason;Longitude;Latitude;addressConfidentialityReason;City;targetRelease;pollutant;releasesConfidentialityReason;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000112739.FACILITY;A/S Dansk Shell;;9,7542;55,5965;;Fredericia;AIR;Nitrogen oxides (NOX);;;;;;;;;;;;619000;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000112739.FACILITY;A/S Dansk Shell;;9,7542;55,5965;;Fredericia;AIR;Non-methane volatile organic compounds (NMVOC);;;;;;;;;;;;1440000;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000112739.FACILITY;A/S Dansk Shell;;9,7542;55,5965;;Fredericia;AIR;Sulphur oxides (SOX);;;;;;;;;;;;1040000;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000112739.FACILITY;Crossbridge Energy A/S;;9,75242337;55,59122786;;Fredericia;AIR;Carbon dioxide (CO2);;;;;;;;;;;;;;;;426657000
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000112739.FACILITY;Crossbridge Energy A/S;;9,75242337;55,59122786;;Fredericia;AIR;Nitrogen oxides (NOX);;;;;;;;;;;;;;;;560847
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000112739.FACILITY;Crossbridge Energy A/S;;9,75242337;55,59122786;;Fredericia;AIR;Non-methane volatile organic compounds (NMVOC);;;;;;;;;;;;;;;;956000
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000112739.FACILITY;Crossbridge Energy A/S;;9,75242337;55,59122786;;Fredericia;AIR;Sulphur oxides (SOX);;;;;;;;;;;;;;;;583868
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.EEA/16766.FACILITY;DONG Olierør A/S, Råolierørledningen og råolieterminalen;;9,741542587;55,59280582;;Fredericia;AIR;Methane (CH4);;1780000;1650000;;;;;;;;;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.EEA/16766.FACILITY;DONG Olierør A/S, Råolierørledningen og råolieterminalen;;9,741542587;55,59280582;;Fredericia;AIR;Non-methane volatile organic compounds (NMVOC);;3920000;3630000;;;;;;;;;;;;;
Denmark;1;Energy sector;1(b);Installations for gasification and liquefaction;DK.EEA/16583.FACILITY;Dansk Shell A/S, Skanseodden;;9,764174484;55,55790059;;Fredericia;AIR;Non-methane volatile organic compounds (NMVOC);;4000000;;;;;;;;;;;;;;
Denmark;1;Energy sector;1(c);Thermal power stations and other combustion installations;DK.CAED/000057740.FACILITY;Helsingør Kraftvarmeværk;;12,55748668;56,02010815;;Helsingør;AIR;Carbon dioxide (CO2);;;;;108000000;;;;;;;;;;;
Denmark;1;Energy sector;1(c);Thermal power stations and other combustion installations;DK.CAED/000057740.FACILITY;Helsingør Kraftvarmeværk;;12,55748668;56,02010815;;Helsingør;AIR;Nitrogen oxides (NOX);;;;;361000;;;;;;;;;;;
Denmark;1;Energy sector;1(c);Thermal power stations and other combustion installations;DK.CAED/000057740.FACILITY;Helsingør Kraftvarmeværk;;12,55748668;56,02010815;;Helsingør;AIR;Nitrogen oxides (NOX);;259000;273000;224000;;;;;;;;;;;;
